"v","Release","version","count","className","Indexed"
"<http://opendata.aragon.es/informes/18022016>",2016-02-18,"2",923,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/23062016>",2016-06-23,"6",897,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/22072016>",2016-07-22,"7",141,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/24082016>",2016-08-24,"8",99,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/23092016>",2016-09-23,"9",401,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/14102016>",2016-10-14,"10",133,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/22112016>",2016-11-22,"11",47,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/23122016>",2016-12-23,"12",188,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/24012017>",2017-01-24,"13",161,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/23022017>",2017-02-23,"14",90,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/23032017>",2017-03-23,"15",114,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/23042017>",2017-04-23,"16",926,"<http://purl.org/linked-data/cube#dataSet>",1
"<http://opendata.aragon.es/informes/24052017>",2017-05-24,"17",928,"<http://purl.org/linked-data/cube#dataSet>",1
