"v","Release","version","count","className","Indexed"
"<http://opendata.aragon.es/informes/18022016>",2016-02-18,"2",2755604,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/18032016>",2016-03-18,"3",3226282,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/26042016>",2016-04-26,"4",3105233,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/25052016>",2016-05-25,"5",3123600,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/23062016>",2016-06-23,"6",3154631,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/22072016>",2016-07-22,"7",1062345,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/24082016>",2016-08-24,"8",907055,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/23092016>",2016-09-23,"9",1436081,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/14102016>",2016-10-14,"10",1006228,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/22112016>",2016-11-22,"11",77524,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/23122016>",2016-12-23,"12",1058993,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/24012017>",2017-01-24,"13",1364735,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/23022017>",2017-02-23,"14",917855,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/23032017>",2017-03-23,"15",1199987,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/23042017>",2017-04-23,"16",3343342,"<http://purl.org/linked-data/cube#Observation>",1
"<http://opendata.aragon.es/informes/24052017>",2017-05-24,"17",3359054,"<http://purl.org/linked-data/cube#Observation>",1
